mode: set
cookly/business/reviews/usecase.go:15.94,21.2 1 1
cookly/business/reviews/usecase.go:23.94,26.16 2 1
cookly/business/reviews/usecase.go:31.2,32.16 2 1
cookly/business/reviews/usecase.go:37.2,41.16 4 1
cookly/business/reviews/usecase.go:45.2,46.16 2 1
cookly/business/reviews/usecase.go:50.2,50.20 1 1
cookly/business/reviews/usecase.go:26.16,28.3 1 0
cookly/business/reviews/usecase.go:32.16,34.3 1 0
cookly/business/reviews/usecase.go:41.16,43.3 1 0
cookly/business/reviews/usecase.go:46.16,48.3 1 0
cookly/business/reviews/usecase.go:53.102,55.16 2 0
cookly/business/reviews/usecase.go:59.2,59.20 1 0
cookly/business/reviews/usecase.go:55.16,57.3 1 0
